org_full_name,org_short_name,org_type,projects_lead,un_org
Afghanistan Analysts Network , AAN,Non-Governmental Organization,,NO
African Women Leaders Network, AWLN,Non-Governmental Organization,,NO
Safety and Risk Mitigation Organization , SRMO,Non-Governmental Organization,,NO
The Netherlands Red Cross‘ data and digital unit 510,510,Non-Governmental Organization,,NO
ActionAid International [FHN Secretariat],AAI,Non-Governmental Organization,Kente Threads,NO
ACAPS,ACAPS,Non-Governmental Organization,,NO
Access Center for Human Rights (ACHR),ACHR,Non-Governmental Organization,,NO
Armed Conflict Location & Event Data Project (ACLED),ACLED,Non-Governmental Organization,"ACLED Data, Maintaining ACLED",NO
Xenowatch / African Centre for Migration & Society ,ACMS,Non-Governmental Organization,,NO
Agency for Technical Cooperation and Development,ACTED,Non-Governmental Organization,,NO
Americans for Democracy & Human Rights in Bahrain  ,ADHRB,Non-Governmental Organization,,NO
Association des Femmes Juristes de Centrafrique ,AFJC,Non-Governmental Organization,,NO
L'Alliance des femmes en Haiti,AFPA,Non-Governmental Organization,,NO
Association for Women and Child Protection ,AISHA,Non-Governmental Organization,,NO
Afghan Peace Watch,APW,Non-Governmental Organization,,NO
African Security Sector Network ,ASSN,Non-Governmental Organization,,NO
Awafy Sudanese Organization  ,AWAFY ,Non-Governmental Organization,,NO
Aid Worker Security Database  ,AWSD,Non-Governmental Organization,,NO
Airwars  ,Airwars  ,Non-Governmental Organization,,NO
Armillary Services,Armillary Services,Private Sector,,NO
Local Municipalities and Regions Against Mafia and Corruption,Avviso Pubblico,Non-Governmental Organization,,NO
Bangladesh Red Crescent Society,BDRCS,Non-Governmental Organization,,NO
Centre d’analyse et de recherche en droits de l’homme,CARDH,Non-Governmental Organization,,NO
Centre for Analysis of the Radical Right,CARR,Non-Governmental Organization,,NO
Centre for Democracy and Development,CDD,Non-Governmental Organization,,NO
Conflict Early Warning and Response Mechanism  ,CEWARN,Non-Governmental Organization,,NO
Columbia International Affairs Online,CIAO,Non-Governmental Organization,,NO
Community Initiative for Enhanced Peace and Development / Conflict Watch Center  ,CIEPD,Non-Governmental Organization,,NO
The Center for Integrated Earth System Information ,CIESIN,Academic Institution,,NO
Center for Civilians in Conflict ,CIVIC,Non-Governmental Organization,,NO
Collective Campaign for Peace   ,COCAP,Non-Governmental Organization,,NO
Center for Social Conflict and Cohesion Studies  ,COES,Non-Governmental Organization,,NO
Centre for Social Conflict and Cohesion Studies (COES) | Chile ,COES,Academic Institution,,NO
Complex Risk Analytics Fund,CRAF'd,Intergovernmental Organization,"CRAF'd Direct Costs, CRAF'd Sec.Direct Cost 2022",YES
Center for Social Change ,CSC,Non-Governmental Organization,,NO
Cure Violence Global,CVG,Non-Governmental Organization,,NO
Cambridge Zero,Cambridge Zero,Private Sector,,NO
Center for Social Sciences Research and Action  ,CeSSRA,Non-Governmental Organization,,NO
Clingendael,Clingendael,Non-Governmental Organization,,NO
Dalberg Associates,DA,Private Sector,,NO
United Nations Development Coordination Office  (UNDCO),DCO,Intergovernmental Organization,,YES
Data Friendly Space,DFS,Non-Governmental Organization,,NO
Department of Peace Operations (DPO),DPO,Intergovernmental Organization,,YES
United Nations Department of Political and Peacebuilding Affairs (UNDPPA),DPPA,Intergovernmental Organization,GEOGUARD,YES
Deep South Watch  ,DSW,Non-Governmental Organization,,NO
Dallaire Institute,Dallaire Institute,Non-Governmental Organization,,NO
Data42,Data42,Non-Governmental Organization,,NO
Development Transformations,DevTransform,Non-Governmental Organization,,NO
Dialogos  ,Dialogos  ,Non-Governmental Organization,,NO
Equal Access International  ,EAI,Non-Governmental Organization,,NO
Equal Access International (EAI) | Ivory Coast ,EAI,Non-Governmental Organization,,NO
Eyzidi Organization for Documentation,EOD,Non-Governmental Organization,,NO
Emergent Risk International,ERI,Non-Governmental Organization,,NO
Element 84,Element 84,Non-Governmental Organization,,NO
Every Town for Gun Safety  ,Every Town for Gun Safety  ,Non-Governmental Organization,,NO
Food and Agriculture Organization of the United Nations (FAO),FAO,Intergovernmental Organization,,YES
Feminist Humanitarian Network (FHN),FHN,Other,Kente Threads,NO
Front Line Defenders  ,FLD,Non-Governmental Organization,,NO
Foundation for Media Alternatives  ,FMA,Non-Governmental Organization,,NO
Asian Forum for Human Rights and Development   ,FORUM-ASIA,Non-Governmental Organization,,NO
Forum de Paix de Beni  ,FPB,Non-Governmental Organization,,NO
Forum de Paix de Béni (FPB) | Democratic Republic of the Congo (DRC) ,FPB,Non-Governmental Organization,,NO
Insights – Framework Mechanism (FWM – formerly Data for Change)  ,FWM,Non-Governmental Organization,,NO
Fogo Cruzado  ,Fogo Cruzado  ,Non-Governmental Organization,,NO
Fundaredes  ,Fundaredes  ,Non-Governmental Organization,,NO
Global Initiative Against Transnational Organized Crime,GI-TOC,Non-Governmental Organization,,NO
Genocide Watch,Genocide Watch,Non-Governmental Organization,,NO
Gender in Emergencies Group,GiE,Non-Governmental Organization,,NO
Global Witness  ,Global Witness  ,Non-Governmental Organization,,NO
HORN International Institute for Strategic Studies  ,HORN Institute,Non-Governmental Organization,,NO
Global Campus of Human Rights – Human Rights Centre of the National University of Timor-Leste  ,HRC-UNTL,Academic Institution,,NO
Committee for Human Rights in North Korea  ,HRNK,Non-Governmental Organization,,NO
Idea Bureau,IB,Private Sector,,NO
International Crisis Group (ICG),ICG,Non-Governmental Organization,eEARTH,NO
Intergovernmental Authority on Development - IGAD Climate Prediction and Applications Centre (ICPAC),ICPAC,Intergovernmental Organization,Hazard Modeling,NO
Internal Displacement Monitoring Centre (IDMC),IDMC,Non-Governmental Organization,Internal Displacement Data,NO
Institute for Economics and Peace,IEP,Non-Governmental Organization,,NO
International Federation of Red Cross and Red Crescent Societies (IFRC),IFRC,Non-Governmental Organization,GUARD,NO
International Institute for Strategic Studies,IISS,Non-Governmental Organization,,NO
